"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.08392614591684e-235,0.94999914129962,0.985,0.992,7.75660092893985e-231,"Activated_T_cells","MT-ND6"
1.40391882229174e-190,0.739559545598046,0.991,0.997,2.66646301917871e-186,"Activated_T_cells","MT-ND5"
7.04069542349475e-185,0.717781351644077,0.991,0.999,1.33723928178436e-180,"Activated_T_cells","MT-ND3"
4.82306237926279e-175,0.604210309111948,0.999,1,9.16044237693381e-171,"Activated_T_cells","MT-CYB"
2.95107472356215e-162,0.657536950615071,0.993,0.998,5.6049762224616e-158,"Activated_T_cells","MT-ND1"
7.1117785171542e-139,0.53510247158287,1,0.999,1.3507400937631e-134,"Activated_T_cells","MT-ND4L"
4.48947463963597e-121,1.24152237026639,0.795,0.658,8.5268591830606e-117,"Activated_T_cells","SLC35E3"
2.11068035305776e-114,1.4070795502553,0.734,0.59,4.00881519456261e-110,"Activated_T_cells","DEPRECATED-ENSG00000231396"
9.95384125728537e-104,0.753716847734463,0.861,0.797,1.89053306999621e-99,"Activated_T_cells","MDM2"
1.75708048247411e-103,1.84197375831807,0.5,0.256,3.33722296036307e-99,"Activated_T_cells","IL26"
9.85415798703296e-101,0.455624241885724,0.998,1,1.87160022647717e-96,"Activated_T_cells","MT-ND4"
7.23010897183686e-92,1.27840009035784,0.709,0.547,1.37321459702097e-87,"Activated_T_cells","MDM1"
1.5468245059139e-88,1.91598159885173,0.454,0.237,2.93788378408226e-84,"Activated_T_cells","IL22"
9.5547920315386e-80,1.40080710011201,0.649,0.527,1.81474165055013e-75,"Activated_T_cells","USP17L23"
6.68944650615886e-79,1.29939296100918,0.708,0.737,1.27052657491475e-74,"Activated_T_cells","CAND1"
6.1325136214824e-78,0.43309945434365,0.995,1,1.16474831212815e-73,"Activated_T_cells","MT-CO2"
1.81959621805514e-70,0.350401820534979,0.996,0.999,3.45595909695213e-66,"Activated_T_cells","MT-ND2"
3.41035184085707e-58,1.43181379434716,0.533,0.396,6.47728125133984e-54,"Activated_T_cells","TAF11L3"
8.88481603663323e-58,0.356633422414658,1,1,1.68749310983775e-53,"Activated_T_cells","MT-CO3"
2.70705312244613e-57,0.107737292213335,0.166,0.514,5.14150599546194e-53,"Activated_T_cells","HIGD2A"
1.4159320653968e-53,0.100549121969024,0.092,0.36,2.68927977180814e-49,"Activated_T_cells","CCT5"
2.50246726714147e-53,0.123179190292346,0.133,0.437,4.7529360804818e-49,"Activated_T_cells","LEPROTL1"
4.39145156688176e-53,0.107443939247208,0.121,0.414,8.34068396097853e-49,"Activated_T_cells","PCBP2"
7.02503172411736e-53,0.118230842307566,0.159,0.484,1.33426427536161e-48,"Activated_T_cells","TIMM13"
3.93206022941498e-52,0.160784159489816,0.142,0.45,7.46816199372786e-48,"Activated_T_cells","SERBP1"
1.00288061320357e-51,0.124971881623628,0.143,0.45,1.90477114865754e-47,"Activated_T_cells","SEC22B"
1.20564276390883e-51,0.101939510282759,0.117,0.401,2.28987730149203e-47,"Activated_T_cells","CUL4A"
5.96202091298445e-51,0.110447792083608,0.101,0.369,1.13236663200314e-46,"Activated_T_cells","ELP3"
6.28490514579004e-51,0.166920185646231,0.134,0.431,1.1936920343399e-46,"Activated_T_cells","ANKLE2"
