"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.36795990528603,0.401,0.027,0,"0","DEPRECATED-ENSG00000276085"
4.47069466426454e-190,2.98413246137545,0.294,0.049,8.49119037583764e-186,"0","IGHA1"
0,2.82422641261174,0.822,0.134,0,"0","CCL3"
0,4.73307896305316,0.988,0.393,0,"1","COL1A1"
0,4.72787919263419,0.994,0.419,0,"1","COL3A1"
0,4.31925068121472,0.95,0.375,0,"1","COL1A2"
1.21963691808838e-141,2.41078571383745,0.279,0.063,2.31645639852525e-137,"2","CTAGE6"
0,2.40683331458988,0.779,0.219,0,"2","IL26"
0,2.37595882865854,0.798,0.219,0,"2","CXCL8"
1.5468245059139e-88,1.91598159885173,0.454,0.237,2.93788378408226e-84,"3","IL22"
1.75708048247411e-103,1.84197375831807,0.5,0.256,3.33722296036307e-99,"3","IL26"
3.83083967648937e-27,1.73144807238943,0.348,0.261,7.27591379755626e-23,"3","DEPRECATED-ENSG00000183791"
0,3.06404094881831,0.996,0.206,0,"4","CRYM"
0,2.98553594080999,0.956,0.146,0,"4","NECAB2"
0,2.84978115613096,0.828,0.096,0,"4","CALB2"
1.4668567033159e-47,1.67662535939625,0.366,0.189,2.78600093660789e-43,"5","HBB"
2.59378786666968e-87,1.55308627776056,0.614,0.356,4.92638129516573e-83,"5","DEPRECATED-ENSG00000244734"
1.01659243581437e-69,1.43457340036585,0.68,0.588,1.93081401334224e-65,"5","TP53INP2"
1.93576762001185e-34,1.28934215548802,0.512,0.355,3.6766034406885e-30,"6","RAPGEF4"
1.37011020667213e-97,1.13741337084013,0.862,0.512,2.60225031553237e-93,"6","KIF5A"
7.65497292239505e-54,1.08205606146327,0.68,0.422,1.45390900715049e-49,"6","NCS1"
0,3.76651924018048,0.992,0.561,0,"7","VEGFA"
0,3.60217900342477,0.932,0.311,0,"7","HILPDA"
0,3.4952284996353,0.835,0.204,0,"7","ANGPTL4"
0,2.90268930605523,0.99,0.247,0,"8","CLSTN2"
0,2.66164151280104,1,0.416,0,"8","SYT1"
0,2.6060243252546,0.95,0.2,0,"8","SLIT1"
1.83496061886043e-261,2.8815787864548,0.865,0.333,3.48514070340162e-257,"9","OPALIN"
6.30140098350405e-278,2.47553439851184,0.971,0.627,1.19682508879693e-273,"9","CERCAM"
2.10884429497632e-288,2.44100718659413,0.985,0.662,4.00532796944853e-284,"9","SCD"
4.76981347865384e-161,2.53538560634288,0.378,0.05,9.05930674000724e-157,"10","COL4A6"
1.96317812363589e-51,2.4909705465184,0.282,0.077,3.72866421022166e-47,"10","PPDPFL"
7.62995447989157e-178,2.28600713324353,0.444,0.062,1.44915725436581e-173,"10","TMSB15A"
9.22159006840387e-243,4.49198254166696,0.543,0.077,1.75145660169195e-238,"11","MYH11"
1.66783633031632e-113,3.69907519109051,0.719,0.321,3.16772154216979e-109,"11","ADAMTS1"
4.32660090933313e-215,3.54789619986876,0.626,0.122,8.21751310709642e-211,"11","RELN"
1.77550921995283e-201,2.37954787221142,0.799,0.181,3.37222466145642e-197,"12","WIF1"
3.6207150746808e-139,2.3119687220373,0.59,0.13,6.87682414134125e-135,"12","DEPRECATED-ENSG00000100285"
3.86899897103978e-105,2.19505461059384,0.421,0.085,7.34838974569585e-101,"12","TNNT2"
2.65043802253306e-190,4.17350979691354,0.777,0.194,5.03397693619704e-186,"13","NPY"
2.03242492676154e-70,2.58548802793544,0.355,0.086,3.86018466339819e-66,"13","NOS1"
9.47273658473289e-202,2.33499115298315,0.969,0.339,1.79915685953832e-197,"13","OPALIN"
