"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.36795990528603,0.401,0.027,0,"0","DEPRECATED-ENSG00000276085"
4.47069466426454e-190,2.98413246137545,0.294,0.049,8.49119037583764e-186,"0","IGHA1"
0,2.82422641261174,0.822,0.134,0,"0","CCL3"
5.24374745956732e-159,2.7826821291219,0.585,0.21,9.9594495499562e-155,"0","IGKC"
0,2.67799831195469,0.289,0.021,0,"0","CCL3L1"
2.2015805814179e-135,2.61840185088187,0.484,0.162,4.18146199828701e-131,"0","IGHG1"
0,2.59216571495179,0.736,0.102,0,"0","COL20A1"
0,2.47572600799298,1,0.365,0,"0","STAB1"
0,2.46894447518954,1,0.586,0,"0","SELENOP"
0,2.45089926679754,0.716,0.12,0,"0","EGR2"
0,4.73307896305316,0.988,0.393,0,"1","COL1A1"
0,4.72787919263419,0.994,0.419,0,"1","COL3A1"
0,4.31925068121472,0.95,0.375,0,"1","COL1A2"
0,3.77799294184089,0.711,0.153,0,"1","COL6A3"
0,3.17425710583782,0.943,0.483,0,"1","COL4A2"
0,2.95063599605362,0.907,0.425,0,"1","COL4A1"
0,2.81792857933226,0.799,0.357,0,"1","COL6A2"
5.38963869189362e-256,2.69507448272859,0.56,0.183,1.02365407675135e-251,"1","COL5A1"
0,2.65938417231198,0.99,0.748,0,"1","FN1"
6.4460720503304e-120,2.64924033812425,0.368,0.138,1.22430246451925e-115,"1","FBLN2"
1.21963691808838e-141,2.41078571383745,0.279,0.063,2.31645639852525e-137,"2","CTAGE6"
0,2.40683331458988,0.779,0.219,0,"2","IL26"
0,2.37595882865854,0.798,0.219,0,"2","CXCL8"
3.69489864219494e-141,2.37247109669655,0.287,0.067,7.01772099112084e-137,"2","CFHR4"
2.69068357321027e-135,2.36930822230469,0.26,0.057,5.11041531059826e-131,"2","ANGPTL3"
2.16874091850359e-161,2.31482806305404,0.311,0.07,4.11908962651387e-157,"2","UTS2"
2.56600379470338e-132,2.29221688933095,0.287,0.071,4.87361100728013e-128,"2","OR4K15"
2.92814881620016e-129,2.29106018663356,0.291,0.075,5.56143304660897e-125,"2","AL445238.1"
2.47371239060282e-176,2.2542010125277,0.463,0.152,4.69832194347193e-172,"2","G0S2"
1.89536884826256e-174,2.25122910732236,0.364,0.09,3.59987405350508e-170,"2","GNGT1"
1.5468245059139e-88,1.91598159885173,0.454,0.237,2.93788378408226e-84,"3","IL22"
1.75708048247411e-103,1.84197375831807,0.5,0.256,3.33722296036307e-99,"3","IL26"
3.83083967648937e-27,1.73144807238943,0.348,0.261,7.27591379755626e-23,"3","DEPRECATED-ENSG00000183791"
1.24824830939441e-14,1.55057350216593,0.288,0.232,2.37079801403281e-10,"3","AC134684.9"
5.71553621984894e-14,1.48847436538344,0.29,0.235,1.08555179423591e-09,"3","POTEM"
6.18788861655687e-21,1.4827217286081,0.412,0.377,1.17526568494265e-16,"3","NUP107"
1.36396857948194e-30,1.45978357306661,0.395,0.299,2.59058552301004e-26,"3","AC084121.12"
3.25905173576001e-16,1.45727422912534,0.433,0.447,6.18991696172899e-12,"3","SZRD1"
9.26206133617337e-22,1.45367789771782,0.351,0.276,1.75914330957941e-17,"3","TAF11L9"
1.68519287224542e-43,1.45103121608506,0.509,0.42,3.20068682225573e-39,"3","USP17L15"
0,3.06404094881831,0.996,0.206,0,"4","CRYM"
0,2.98553594080999,0.956,0.146,0,"4","NECAB2"
0,2.84978115613096,0.828,0.096,0,"4","CALB2"
0,2.71746223640949,1,0.486,0,"4","ENC1"
0,2.70475912389847,0.986,0.215,0,"4","VSTM2A"
0,2.68919995156758,0.966,0.208,0,"4","LAMP5"
0,2.59842054440432,0.991,0.243,0,"4","GABRA1"
0,2.57336463382596,1,0.308,0,"4","NPTXR"
0,2.55487885219269,1,0.285,0,"4","CREG2"
0,2.54935705597876,0.999,0.308,0,"4","NSG2"
1.4668567033159e-47,1.67662535939625,0.366,0.189,2.78600093660789e-43,"5","HBB"
2.59378786666968e-87,1.55308627776056,0.614,0.356,4.92638129516573e-83,"5","DEPRECATED-ENSG00000244734"
1.01659243581437e-69,1.43457340036585,0.68,0.588,1.93081401334224e-65,"5","TP53INP2"
2.46854451416966e-25,1.35506401726861,0.421,0.314,4.68850659576244e-21,"5","HBA1"
1.50002538527171e-28,1.35449857973082,0.41,0.279,2.84899821424655e-24,"5","HBA2"
4.80129485207104e-17,1.29384044598937,0.41,0.351,9.11909931253853e-13,"5","APOC1"
6.73657790673172e-18,1.27687067399796,0.333,0.236,1.27947824182556e-13,"5","HIST1H1B"
2.90277898809159e-42,1.25826079596296,0.405,0.239,5.51324813208235e-38,"5","IGKC"
1.35351413514177e-174,1.25018834974782,0.998,0.938,2.57072939687477e-170,"5","MBP"
